timestamp,sensor_value,label
1772100367.341002,2105,a
1772100367.3414888,2681,a
1772100367.3415701,768,a
1772100367.3416152,1727,a
1772100367.342271,2432,a
1772100367.342308,975,a
1772100367.34234,1311,a
1772100367.3480551,2359,a
1772100367.348104,1148,a
1772100367.3481321,946,a
1772100367.348162,2173,a
1772100367.348193,1367,a
1772100367.348217,503,a
1772100367.348246,1835,a
1772100367.348274,1532,a
1772100367.348858,110,a
1772100367.3489401,1587,a
1772100367.348981,1794,a
1772100367.3490849,359,a
1772100367.349118,1288,a
1772100367.3491468,1938,a
1772100367.3491719,677,a
1772100367.349201,1104,a
1772100367.3588328,2041,a
1772100367.359,1041,a
1772100367.370986,913,a
1772100367.379643,2173,a
1772100367.390785,1409,a
1772100367.401519,713,a
1772100367.412538,2286,a
1772100367.426482,1797,a
1772100367.4347641,561,a
1772100367.445525,2431,a
1772100367.456557,2165,a
1772100367.469304,393,a
1772100367.478528,2574,a
1772100367.489532,2446,a
1772100367.50059,224,a
1772100367.5115242,2735,a
1772100367.523552,2693,a
1772100367.533521,120,a
1772100367.544537,2647,a
1772100367.555501,2866,a
1772100367.5665689,194,a
1772100367.5775511,2545,a
1772100367.588557,2914,a
1772100367.599524,401,a
1772100367.610523,2295,a
1772100367.621557,2858,a
1772100367.632571,690,a
1772100367.644809,1903,a
1772100367.654551,2542,a
1772100367.665565,860,a
1772100367.67659,1514,a
1772100367.687534,2375,a
1772100367.6986759,1012,a
1772100367.709632,1146,a
1772100367.720651,2138,a
1772100367.731654,1266,a
1772100367.742579,754,a
1772100367.753692,1983,a
1772100367.764678,1392,a
1772100367.77551,279,a
1772100367.786678,1667,a
1772100367.797642,1600,a
1772100367.8085089,123,a
1772100367.819673,1408,a
1772100367.830671,1894,a
1772100367.841507,491,a
1772100367.852661,1171,a
1772100367.864387,2007,a
1772100367.8745081,958,a
1772100367.903444,979,a
1772100367.903512,2118,a
1772100367.920063,1307,a
1772100367.920125,807,a
1772100367.937942,2221,a
1772100367.943115,1625,a
1772100367.9677382,710,a
1772100367.9678059,2375,a
1772100367.97405,1963,a
1772100368.004799,482,a
1772100368.004935,2553,a
1772100368.006645,2300,a
1772100368.025077,337,a
1772100368.028641,2671,a
1772100368.039624,2613,a
1772100368.050518,128,a
1772100368.061642,2821,a
1772100368.072503,2823,a
1772100368.084275,188,a
1772100368.0945191,2685,a
1772100368.105509,2921,a
1772100368.1165419,425,a
1772100368.127521,2458,a
1772100368.138536,2881,a
1772100368.14952,646,a
1772100368.1605172,2096,a
1772100368.171545,2704,a
1772100368.182403,782,a
1772100368.1935098,1525,a
1772100368.2058828,2484,a
1772100368.215455,946,a
1772100368.2265248,1160,a
1772100368.2375,2292,a
1772100368.248513,1091,a
1772100368.2594051,698,a
1772100368.2705128,2121,a
1772100368.281513,1359,a
1772100368.292402,453,a
1772100368.304805,1751,a
1772100368.314529,1647,a
1772100368.325307,86,a
1772100368.3365178,1485,a
1772100368.347561,1867,a
1772100368.358619,487,a
1772100368.369674,1162,a
1772100368.380511,2004,a
1772100368.3913841,784,a
1772100368.4023879,991,a
1772100368.413513,2124,a
1772100368.425237,1308,a
1772100368.43539,780,a
1772100368.446542,2263,a
1772100368.457742,1596,a
1772100368.468394,690,a
1772100368.479407,2403,a
1772100368.490601,1996,a
1772100368.5014882,452,a
1772100368.512424,2583,a
1772100368.525784,2280,a
1772100368.5345159,337,a
1772100368.545558,2723,a
1772100368.556461,2642,a
1772100368.567617,177,a
1772100368.57855,2778,a
1772100368.5894558,2890,a
1772100368.600302,168,a
1772100368.611414,2671,a
1772100368.625004,2898,a
1772100368.633307,401,a
1772100368.645518,2441,a
1772100368.657449,2791,a
1772100368.666851,623,a
1772100368.677417,2028,a
1772100368.689157,2601,a
1772100368.699285,842,a
1772100368.7105951,1647,a
1772100368.721388,2478,a
1772100368.732498,1012,a
1772100368.745218,1160,a
1772100368.754433,2299,a
1772100368.7662709,1244,a
1772100368.776286,758,a
1772100368.787956,1976,a
1772100368.7984169,1403,a
1772100368.8092911,397,a
1772100368.820384,1673,a
1772100368.831393,1638,a
1772100368.8422458,109,a
1772100368.853296,1453,a
1772100368.865567,1837,a
1772100368.8752818,495,a
1772100368.8862772,1199,a
1772100368.8972769,2007,a
1772100368.908261,906,a
1772100368.91925,987,a
1772100368.9302962,2055,a
1772100368.941277,1263,a
1772100368.952255,765,a
1772100368.963275,2297,a
1772100368.974268,1614,a
1772100368.985259,627,a
1772100368.996272,2367,a
1772100369.0072598,2034,a
1772100369.0181491,425,a
1772100369.029264,2513,a
1772100369.040258,2341,a
1772100369.0511491,289,a
1772100369.0622568,2735,a
1772100369.0732548,2633,a
1772100369.085566,154,a
1772100369.095264,2730,a
1772100369.1062558,2832,a
1772100369.117171,175,a
1772100369.128287,2671,a
1772100369.1392782,2920,a
1772100369.150173,368,a
1772100369.1612852,2463,a
1772100369.1722848,2751,a
1772100369.183161,616,a
1772100369.194279,2052,a
1772100369.205537,2598,a
1772100369.21618,903,a
1772100369.227256,1855,a
1772100369.238283,2437,a
1772100369.2491589,841,a
1772100369.260287,1229,a
1772100369.2712908,2035,a
1772100369.2822468,1206,a
1772100369.293167,864,a
1772100369.304938,1969,a
1772100369.315125,1370,a
1772100369.32614,331,a
1772100369.33714,1693,a
1772100369.348164,1623,a
1772100369.359118,137,a
1772100369.3701801,1428,a
1772100369.38116,1862,a
1772100369.3921568,471,a
1772100369.403163,1146,a
1772100369.41414,1924,a
1772100369.425128,949,a
1772100369.436043,927,a
1772100369.447175,1991,a
1772100369.458122,1091,a
1772100369.4690309,751,a
1772100369.480156,2444,a
1772100369.4911191,1663,a
1772100369.502039,633,a
1772100369.513151,2226,a
1772100369.524566,2061,a
1772100369.535006,431,a
1772100369.5461519,2392,a
1772100369.557156,2337,a
1772100369.5680692,388,a
1772100369.579134,2656,a
1772100369.590158,2473,a
1772100369.601046,142,a
1772100369.61216,2539,a
1772100369.624686,2724,a
1772100369.634031,230,a
1772100369.645461,2409,a
1772100369.656138,2673,a
1772100369.667008,342,a
1772100369.678153,2175,a
1772100369.6891332,2634,a
1772100369.7000299,598,a
1772100369.7110348,1859,a
1772100369.722025,2607,a
1772100369.733002,863,a
1772100369.7455401,1530,a
1772100369.755029,2400,a
1772100369.766001,1093,a
1772100369.777057,1112,a
1772100369.7880352,2207,a
1772100369.7990332,1239,a
1772100369.810029,668,a
1772100369.821035,1924,a
1772100369.832,1368,a
1772100369.8429,265,a
1772100369.8539908,1630,a
1772100369.8654668,1637,a
1772100369.875915,168,a
1772100369.886993,1319,a
1772100369.8980339,1909,a
1772100369.908906,555,a
1772100369.9200408,1116,a
1772100369.9310231,1970,a
1772100369.941918,923,a
1772100369.952866,984,a
1772100369.965753,2074,a
1772100369.975017,1349,a
1772100369.985947,742,a
1772100369.997099,2213,a
1772100370.0080051,1718,a
1772100370.018902,615,a
1772100370.030028,2328,a
1772100370.041027,1865,a
1772100370.0518699,330,a
1772100370.063029,2423,a
1772100370.073994,2404,a
1772100370.086015,246,a
1772100370.095903,2709,a
1772100370.1068878,2528,a
1772100370.117904,104,a
1772100370.128906,2480,a
1772100370.139901,2819,a
1772100370.150902,295,a
1772100370.1618829,2539,a
1772100370.172904,2734,a
1772100370.1852312,411,a
1772100370.194905,2180,a
1772100370.2058969,2713,a
1772100370.216754,661,a
1772100370.2279081,1848,a
1772100370.238899,2490,a
1772100370.249804,838,a
1772100370.260931,1492,a
1772100370.271898,2281,a
1772100370.282899,1146,a
1772100370.293903,1034,a
1772100370.305692,2051,a
1772100370.3159292,1207,a
1772100370.3267431,676,a
1772100370.337894,1817,a
1772100370.348864,1451,a
1772100370.359756,265,a
1772100370.370848,1454,a
1772100370.3889,1686,a
1772100370.392748,140,a
1772100370.405854,1222,a
1772100370.4149,1761,a
1772100370.425772,595,a
1772100370.4369001,1085,a
1772100370.44794,1885,a
1772100370.458889,1013,a
1772100370.469776,947,a
1772100370.480899,2023,a
1772100370.491888,1384,a
1772100370.502771,664,a
1772100370.513778,2262,a
1772100370.52479,1625,a
1772100370.535773,550,a
1772100370.54675,2372,a
1772100370.5577412,2060,a
1772100370.568774,397,a
1772100370.579742,2527,a
1772100370.5907352,2421,a
1772100370.601645,205,a
1772100370.6127732,2686,a
1772100370.62515,2688,a
1772100370.6346638,120,a
1772100370.645744,2689,a
1772100370.656794,2842,a
1772100370.6676428,293,a
1772100370.6787992,2596,a
1772100370.689769,3024,a
1772100370.700651,546,a
1772100370.711772,2268,a
1772100370.724916,2869,a
1772100370.733647,747,a
1772100370.745903,1873,a
1772100370.755757,2668,a
1772100370.766647,956,a
1772100370.77777,1517,a
1772100370.7887518,2483,a
1772100370.7997708,1166,a
1772100370.81065,1009,a
1772100370.8216488,2248,a
1772100370.832656,1460,a
1772100370.84598,577,a
1772100370.854641,1907,a
1772100370.866184,1615,a
1772100370.876651,182,a
1772100370.887626,1642,a
1772100370.898623,1827,a
1772100370.909648,215,a
1772100370.9206421,1428,a
1772100370.9316092,2054,a
1772100370.942482,836,a
1772100370.9536462,1153,a
1772100370.9662259,2136,a
1772100370.975639,1170,a
1772100370.986505,916,a
1772100370.997625,2249,a
1772100371.0086389,1540,a
1772100371.0195131,736,a
1772100371.0306408,2393,a
1772100371.0416389,1974,a
1772100371.052525,588,a
1772100371.0661361,2522,a
1772100371.074628,2346,a
1772100371.086571,387,a
1772100371.0966442,2600,a
1772100371.1076312,2620,a
1772100371.118492,267,a
1772100371.129649,2727,a
1772100371.140648,2831,a
1772100371.151523,162,a
1772100371.162647,2849,a
1772100371.17364,3023,a
1772100371.186239,321,a
1772100371.195526,2709,a
1772100371.20658,3069,a
1772100371.217518,512,a
1772100371.228526,2301,a
1772100371.239501,2859,a
1772100371.2505128,759,a
1772100371.261529,1936,a
1772100371.272501,2580,a
1772100371.2862551,1010,a
1772100371.2945302,1350,a
1772100371.306334,2378,a
1772100371.3165178,1278,a
1772100371.327372,940,a
1772100371.338518,2213,a
1772100371.349483,1366,a
1772100371.360391,442,a
1772100371.3715389,1908,a
1772100371.382493,1638,a
1772100371.3934011,100,a
1772100371.4063191,1548,a
1772100371.4154902,1881,a
1772100371.4263868,389,a
1772100371.4375029,1198,a
1772100371.4485161,2076,a
1772100371.459384,848,a
1772100371.470519,1073,a
1772100371.481517,2153,a
1772100371.492503,1227,a
1772100371.506536,880,a
1772100371.514396,2304,a
1772100371.525694,1623,a
1772100371.536391,698,a
1772100371.5474381,2456,a
1772100371.5583968,1988,a
1772100371.5694,526,a
1772100371.5803788,2599,a
1772100371.591363,2346,a
1772100371.6022232,395,a
1772100371.613367,2783,a
1772100371.6261408,2718,a
1772100371.635242,157,a
1772100371.646789,2926,a
1772100371.657395,2913,a
1772100371.668255,166,a
1772100371.679384,2773,a
1772100371.690387,3022,a
1772100371.7012742,412,a
1772100371.712393,2501,a
1772100371.726141,3021,a
1772100371.734244,621,a
1772100371.746971,2133,a
1772100371.7563891,2757,a
1772100371.767251,811,a
1772100371.778365,1748,a
1772100371.7893918,2508,a
1772100371.800401,1013,a
1772100371.81139,1290,a
1772100371.822366,2288,a
1772100371.83339,1214,a
1772100371.846784,868,a
1772100371.855388,2181,a
1772100371.8666902,1479,a
1772100371.877271,376,a
1772100371.8882508,1722,a
1772100371.899272,1758,a
1772100371.910269,101,a
1772100371.9212759,1247,a
1772100371.932323,1908,a
1772100371.946723,503,a
